Year,Name,Group,BlB,BlE,BleOC,BlMa,NBE,NBlB,NBlM,NBlOC,PBB,PBE,PBlOC,PBM,Black_corals,Soft_corals,Sponge,Algae,CCA,Turf,Sand,RockRub,,Total_coral,Other_inv,Total_algae,Bare_sub,,Bleached_coral,Partly_bleached_coral,Non_bleached_coral
2010,PA263346.JPG,1,0,1.063829787,21.27659574,0,28.72340426,3.191489362,0,0,0,15.95744681,1.063829787,0,0,0,1.063829787,1.063829787,14.89361702,10.63829787,0,1.063829787,,71.27659574,1.063829787,26.59574468,1.063829787,,22.34042553,17.0212766,31.91489362
2010,PA263347.JPG,2,0,0,0,0,1.063829787,1.063829787,0,0,0,2.127659574,3.191489362,0,0,0,0,9.574468085,64.89361702,18.08510638,0,0,,7.446808511,0,92.55319149,0,,0,5.319148936,2.127659574
2010,PA263348.JPG,3,0,3.225806452,1.612903226,0,4.838709677,1.612903226,0,0,0,3.225806452,1.612903226,0,0,0,0,6.451612903,45.16129032,32.25806452,0,0,,16.12903226,0,83.87096774,0,,4.838709677,4.838709677,6.451612903
2010,PA263349.JPG,4,0,0,7.936507937,0,14.28571429,1.587301587,0,1.587301587,3.174603175,0,0,0,0,0,0,1.587301587,49.20634921,14.28571429,0,6.349206349,,28.57142857,0,65.07936508,6.349206349,,7.936507937,3.174603175,17.46031746
2010,PA263350.JPG,5,0,2.43902439,19.51219512,0,0,2.43902439,0,0,12.19512195,0,2.43902439,0,0,0,0,0,36.58536585,12.19512195,0,12.19512195,,39.02439024,0,48.7804878,12.19512195,,21.95121951,14.63414634,2.43902439
2010,PA263351.JPG,6,0,1.785714286,8.928571429,0,0,3.571428571,0,5.357142857,0,0,1.785714286,0,0,0,1.785714286,0,53.57142857,17.85714286,0,5.357142857,,21.42857143,1.785714286,71.42857143,5.357142857,,10.71428571,1.785714286,8.928571429
2010,PA263352.JPG,7,0,0,39.13043478,0,0,0,0,0,0,0,13.04347826,0,0,0,0,0,32.60869565,15.2173913,0,0,,52.17391304,0,47.82608696,0,,39.13043478,13.04347826,0
2010,PA263353.JPG,8,0,0,0,0,0,0,0,0,0,0,29.41176471,0,0,0,0,0,50.58823529,20,0,0,,29.41176471,0,70.58823529,0,,0,29.41176471,0
2010,PA263354.JPG,9,0,0,10.22727273,0,1.136363636,10.22727273,0,1.136363636,0,2.272727273,0,0,0,0,0,2.272727273,50,22.72727273,0,0,,25,0,75,0,,10.22727273,2.272727273,12.5
2010,PA263355.JPG,10,0,0,3.092783505,0,0,7.216494845,0,2.06185567,0,0,2.06185567,0,0,0,0,0,65.97938144,19.58762887,0,0,,14.43298969,0,85.56701031,0,,3.092783505,2.06185567,9.278350515
2010,PA263356.JPG,11,0,0,4.210526316,0,0,25.26315789,0,0,0,0,0,0,0,0,0,2.105263158,54.73684211,13.68421053,0,0,,29.47368421,0,70.52631579,0,,4.210526316,0,25.26315789
2010,PA263358.JPG,12,0,1.063829787,17.0212766,0,0,6.382978723,5.319148936,0,10.63829787,1.063829787,0,17.0212766,0,0,0,0,23.40425532,18.08510638,0,0,,58.5106383,0,41.4893617,0,,18.08510638,28.72340426,11.70212766
2010,PA263359.JPG,13,0,3.191489362,17.0212766,0,3.191489362,4.255319149,7.446808511,0,6.382978723,2.127659574,0,18.08510638,0,0,0,1.063829787,26.59574468,10.63829787,0,0,,61.70212766,0,38.29787234,0,,20.21276596,26.59574468,14.89361702
2010,PA263360.JPG,14,0,0,1.149425287,0,3.448275862,5.747126437,24.13793103,0,16.09195402,0,0,9.195402299,0,0,0,0,20.68965517,19.54022989,0,0,,59.77011494,0,40.22988506,0,,1.149425287,25.28735632,33.33333333
2010,PA263361.JPG,15,0,0,0,17.0212766,0,0,0,0,25.53191489,0,0,0,0,0,0,0,24.46808511,32.9787234,0,0,,42.55319149,0,57.44680851,0,,17.0212766,25.53191489,0
2010,PA263362.JPG,16,0,0,4.545454545,9.090909091,0,0,1.136363636,0,22.72727273,0,0,0,0,0,0,1.136363636,38.63636364,22.72727273,0,0,,37.5,0,62.5,0,,13.63636364,22.72727273,1.136363636
2010,PA263363.JPG,17,0,0,1.204819277,0,0,0,0,0,3.614457831,9.638554217,0,27.71084337,0,0,0,0,36.14457831,21.68674699,0,0,,42.1686747,0,57.8313253,0,,1.204819277,40.96385542,0
2010,PA263366.JPG,18,0,0,89.79591837,0,0,0,0,0,0,0,0,0,0,0,0,0,4.081632653,6.12244898,0,0,,89.79591837,0,10.20408163,0,,89.79591837,0,0
2010,PA263367.JPG,19,0,0,44.57831325,0,4.819277108,0,0,0,0,7.228915663,6.024096386,0,0,0,1.204819277,0,14.45783133,21.68674699,0,0,,62.65060241,1.204819277,36.14457831,0,,44.57831325,13.25301205,4.819277108
2010,PA263368.JPG,20,0,0,36.25,0,0,0,0,0,0,1.25,1.25,0,0,0,0,0,21.25,37.5,0,2.5,,38.75,0,58.75,2.5,,36.25,2.5,0
2010,PA263369.JPG,21,0,0,31.46067416,0,3.370786517,0,0,1.123595506,0,0,5.617977528,0,0,0,0,0,37.07865169,21.34831461,0,0,,41.57303371,0,58.42696629,0,,31.46067416,5.617977528,4.494382022
2010,PA263370.JPG,22,0,0,34.52380952,0,0,10.71428571,0,0,1.19047619,4.761904762,0,0,0,0,1.19047619,3.571428571,27.38095238,16.66666667,0,0,,51.19047619,1.19047619,47.61904762,0,,34.52380952,5.952380952,10.71428571
2010,PA263371.JPG,23,0,0,7.52688172,0,1.075268817,22.58064516,0,0,0,17.20430108,0,0,0,0,3.225806452,1.075268817,27.95698925,19.35483871,0,0,,48.38709677,3.225806452,48.38709677,0,,7.52688172,17.20430108,23.65591398
2010,PA263372.JPG,24,0,0,46.15384615,0,0,3.296703297,0,0,0,8.791208791,0,0,0,0,0,3.296703297,15.38461538,23.07692308,0,0,,58.24175824,0,41.75824176,0,,46.15384615,8.791208791,3.296703297
2010,PA263374.JPG,25,0,5.208333333,16.66666667,0,0,0,5.208333333,0,2.083333333,0,0,20.83333333,0,0,2.083333333,0,29.16666667,18.75,0,0,,50,2.083333333,47.91666667,0,,21.875,22.91666667,5.208333333
2010,PA263375.JPG,26,0,0,14,0,5,2,0,4,0,3,0,0,0,0,1,3,56,12,0,0,,28,1,71,0,,14,3,11
2010,PA263376.JPG,27,0,0,0,0,0,15.05376344,0,0,32.25806452,6.451612903,0,0,0,0,2.150537634,5.376344086,23.65591398,15.05376344,0,0,,53.76344086,2.150537634,44.08602151,0,,0,38.70967742,15.05376344
2010,PA263378.JPG,28,0,0,8.888888889,0,0,0,0,0,0,0,2.222222222,14.44444444,0,0,7.777777778,1.111111111,51.11111111,14.44444444,0,0,,25.55555556,7.777777778,66.66666667,0,,8.888888889,16.66666667,0
2010,PA263379.JPG,29,0,1.315789474,9.210526316,0,0,9.210526316,15.78947368,0,0,0,0,0,0,0,0,1.315789474,39.47368421,23.68421053,0,0,,35.52631579,0,64.47368421,0,,10.52631579,0,25
2010,PA263380.JPG,30,0,0,7.954545455,0,0,9.090909091,26.13636364,0,0,0,0,0,0,0,2.272727273,0,35.22727273,19.31818182,0,0,,43.18181818,2.272727273,54.54545455,0,,7.954545455,0,35.22727273
2010,PA263381.JPG,31,0,2.298850575,5.747126437,0,0,17.24137931,11.49425287,1.149425287,0,1.149425287,3.448275862,0,0,0,0,6.896551724,43.67816092,6.896551724,0,0,,42.52873563,0,57.47126437,0,,8.045977011,4.597701149,29.88505747
2015,DSC00126.JPG,1,0,0,10.20408163,0,6.12244898,2.040816327,3.06122449,0,0,1.020408163,0,0,0,4.081632653,0,3.06122449,40.81632653,29.59183673,0,0,,22.44897959,4.081632653,73.46938776,0,,10.20408163,1.020408163,11.2244898
2015,DSC00127.JPG,2,0,0,15.15151515,0,1.01010101,4.04040404,0,3.03030303,0,0,1.01010101,0,0,2.02020202,9.090909091,3.03030303,32.32323232,29.29292929,0,0,,24.24242424,11.11111111,64.64646465,0,,15.15151515,1.01010101,8.080808081
2015,DSC00128.JPG,3,0,0,16.49484536,0,3.092783505,4.12371134,0,5.154639175,0,2.06185567,3.092783505,0,0,0,5.154639175,1.030927835,29.89690722,29.89690722,0,0,,34.02061856,5.154639175,60.82474227,0,,16.49484536,5.154639175,12.37113402
2015,DSC00131.JPG,4,0,0,0,0,1.01010101,10.1010101,0,0,0,0,0,0,0,0,1.01010101,0,2.02020202,70.70707071,15.15151515,0,,11.11111111,1.01010101,72.72727273,15.15151515,,0,0,11.11111111
2015,DSC00133.JPG,5,0,0,2.127659574,0,0,1.063829787,4.255319149,0,0,20.21276596,0,3.191489362,9.574468085,0,1.063829787,2.127659574,10.63829787,27.65957447,18.08510638,0,,30.85106383,10.63829787,40.42553191,18.08510638,,2.127659574,23.40425532,5.319148936
2015,DSC00134.JPG,6,0,0,5.319148936,0,1.063829787,5.319148936,1.063829787,0,0,22.34042553,0,0,3.191489362,1.063829787,0,3.191489362,4.255319149,24.46808511,28.72340426,0,,35.10638298,4.255319149,31.91489362,28.72340426,,5.319148936,22.34042553,7.446808511
2015,DSC00135.JPG,7,0,0,2.02020202,0,3.03030303,6.060606061,3.03030303,0,0,20.2020202,2.02020202,0,0,0,0,4.04040404,9.090909091,25.25252525,25.25252525,0,,36.36363636,0,38.38383838,25.25252525,,2.02020202,22.22222222,12.12121212
2015,DSC00136.JPG,8,0,0,4.12371134,0,1.030927835,3.092783505,2.06185567,1.030927835,0,17.5257732,0,0,0,0,0,1.030927835,9.278350515,28.86597938,31.95876289,0,,28.86597938,0,39.17525773,31.95876289,,4.12371134,17.5257732,7.216494845
2015,DSC00137.JPG,9,0,0,0,0,0,6.818181818,1.136363636,0,0,15.90909091,0,0,1.136363636,1.136363636,0,0,17.04545455,26.13636364,30.68181818,0,,23.86363636,2.272727273,43.18181818,30.68181818,,0,15.90909091,7.954545455
2015,DSC00138.JPG,10,0,2.564102564,1.282051282,0,0,16.66666667,1.282051282,0,0,0,5.128205128,0,0,0,1.282051282,1.282051282,26.92307692,20.51282051,23.07692308,0,,26.92307692,1.282051282,48.71794872,23.07692308,,3.846153846,5.128205128,17.94871795
2015,DSC00139.JPG,11,0,3.260869565,2.173913043,0,0,8.695652174,2.173913043,3.260869565,0,2.173913043,5.434782609,0,0,1.086956522,3.260869565,1.086956522,27.17391304,30.43478261,9.782608696,0,,27.17391304,4.347826087,58.69565217,9.782608696,,5.434782609,7.608695652,14.13043478
2015,DSC00140.JPG,12,0,1.123595506,6.741573034,0,4.494382022,15.73033708,1.123595506,1.123595506,0,2.247191011,2.247191011,1.123595506,0,1.123595506,0,0,5.617977528,24.71910112,32.58426966,0,,35.95505618,1.123595506,30.33707865,32.58426966,,7.865168539,5.617977528,22.47191011
2015,DSC00141.JPG,13,0,0,4,0,3,19,8,0,0,0,1,0,0,1,0,0,8,24,32,0,,35,1,32,32,,4,1,30
2015,DSC00142.JPG,14,0,0,5.050505051,0,4.04040404,15.15151515,8.080808081,0,0,0,0,0,0,0,0,1.01010101,10.1010101,21.21212121,34.34343434,1.01010101,,32.32323232,0,32.32323232,35.35353535,,5.050505051,0,27.27272727
2015,DSC00143.JPG,15,0,0,14.28571429,0,5.102040816,6.12244898,4.081632653,1.020408163,0,1.020408163,3.06122449,0,0,0,1.020408163,1.020408163,19.3877551,25.51020408,18.36734694,0,,34.69387755,1.020408163,45.91836735,18.36734694,,14.28571429,4.081632653,16.32653061
2015,DSC00144.JPG,16,0,0,0,0,1.041666667,7.291666667,13.54166667,0,0,14.58333333,5.208333333,0,0,0,0,0,9.375,37.5,11.45833333,0,,41.66666667,0,46.875,11.45833333,,0,19.79166667,21.875
2015,DSC00145.JPG,17,0,0,7.142857143,1.020408163,7.142857143,8.163265306,0,0,0,1.020408163,2.040816327,0,0,1.020408163,0,2.040816327,16.32653061,39.79591837,14.28571429,0,,26.53061224,1.020408163,58.16326531,14.28571429,,8.163265306,3.06122449,15.30612245
2015,DSC00146.JPG,18,0,3.06122449,7.142857143,0,5.102040816,9.183673469,3.06122449,0,0,12.24489796,0,0,1.020408163,0,0,2.040816327,16.32653061,30.6122449,10.20408163,0,,39.79591837,1.020408163,48.97959184,10.20408163,,10.20408163,12.24489796,17.34693878
2015,DSC00147.JPG,19,0,0,4.166666667,0,2.083333333,7.291666667,6.25,0,0,27.08333333,0,1.041666667,0,0,3.125,2.083333333,16.66666667,29.16666667,1.041666667,0,,47.91666667,3.125,47.91666667,1.041666667,,4.166666667,28.125,15.625
2015,DSC00148.JPG,20,0,4.166666667,1.041666667,1.041666667,0,8.333333333,14.58333333,2.083333333,0,7.291666667,0,2.083333333,0,2.083333333,0,1.041666667,4.166666667,31.25,20.83333333,0,,40.625,2.083333333,36.45833333,20.83333333,,6.25,9.375,25
2015,DSC00149.JPG,21,0,0,1.01010101,0,0,4.04040404,23.23232323,0,0,4.04040404,0,4.04040404,2.02020202,0,1.01010101,0,4.04040404,38.38383838,18.18181818,0,,36.36363636,3.03030303,42.42424242,18.18181818,,1.01010101,8.080808081,27.27272727
2018,DSC00150.JPG,31,0,2.127659574,5.319148936,0,0,4.255319149,0,0,0,28.72340426,0,0,0,0,0,0,6.382978723,53.19148936,0,0,,40.42553191,0,59.57446809,0,,7.446808511,28.72340426,4.255319149
2015,DSC00151.JPG,22,0,0,2.409638554,0,0,1.204819277,14.45783133,0,0,0,0,0,0,0,0,0,1.204819277,19.27710843,61.44578313,0,,18.07228916,0,20.48192771,61.44578313,,2.409638554,0,15.6626506
2015,DSC00152.JPG,23,0,0,5.882352941,0,0,3.529411765,7.058823529,0,0,1.176470588,0,0,0,0,0,0,7.058823529,37.64705882,37.64705882,0,,17.64705882,0,44.70588235,37.64705882,,5.882352941,1.176470588,10.58823529
2015,DSC00153.JPG,24,0,0,19.58762887,0,0,5.154639175,0,2.06185567,0,0,0,0,3.092783505,0,0,1.030927835,9.278350515,20.6185567,39.17525773,0,,26.80412371,3.092783505,30.92783505,39.17525773,,19.58762887,0,7.216494845
2015,DSC00154.JPG,25,0,0,5.208333333,0,3.125,7.291666667,1.041666667,1.041666667,0,5.208333333,0,0,0,0,0,0,13.54166667,32.29166667,31.25,0,,22.91666667,0,45.83333333,31.25,,5.208333333,5.208333333,12.5
2015,DSC00155.JPG,26,0,0,5.102040816,0,1.020408163,6.12244898,0,3.06122449,0,1.020408163,1.020408163,0,1.020408163,0,1.020408163,0,15.30612245,41.83673469,23.46938776,0,,17.34693878,2.040816327,57.14285714,23.46938776,,5.102040816,2.040816327,10.20408163
2015,DSC00156.JPG,27,0,1.01010101,4.04040404,0,1.01010101,7.070707071,10.1010101,0,0,1.01010101,5.050505051,0,0,0,3.03030303,0,16.16161616,33.33333333,18.18181818,0,,29.29292929,3.03030303,49.49494949,18.18181818,,5.050505051,6.060606061,18.18181818
2015,DSC00157.JPG,28,0,0,9.589041096,0,0,16.43835616,5.479452055,0,0,0,0,0,0,0,0,0,1.369863014,27.39726027,39.7260274,0,,31.50684932,0,28.76712329,39.7260274,,9.589041096,0,21.91780822
2015,DSC00158.JPG,29,0,0,25,0,0,5,1,2,0,0,1,0,0,0,2,1,4,51,8,0,,34,2,56,8,,25,1,8
2015,DSC00161.JPG,30,0,0,15.78947368,0,2.105263158,8.421052632,0,0,0,5.263157895,0,1.052631579,0,0,0,0,14.73684211,25.26315789,18.94736842,8.421052632,,32.63157895,0,40,27.36842105,,15.78947368,6.315789474,10.52631579
2015,DSC00162.JPG,31,0,1.086956522,4.347826087,0,1.086956522,1.086956522,5.434782609,0,0,10.86956522,0,1.086956522,0,0,1.086956522,0,28.26086957,41.30434783,4.347826087,0,,25,1.086956522,69.56521739,4.347826087,,5.434782609,11.95652174,7.608695652
2018,LFT_5709.JPG,1,0,0,8.510638298,1.063829787,4.255319149,11.70212766,0,0,0,0,2.127659574,0,0,0,5.319148936,0,21.27659574,45.74468085,0,0,,27.65957447,5.319148936,67.0212766,0,,9.574468085,2.127659574,15.95744681
2018,LFT_5720.JPG,2,0,0,6.382978723,0,0,6.382978723,0,0,0,0,0,0,0,0,5.319148936,0,31.91489362,48.93617021,1.063829787,0,,12.76595745,5.319148936,80.85106383,1.063829787,,6.382978723,0,6.382978723
2018,LFT_5744.JPG,3,0,0,12.12121212,0,0,9.090909091,0,1.01010101,0,0,3.03030303,0,0,0,2.02020202,0,17.17171717,54.54545455,1.01010101,0,,25.25252525,2.02020202,71.71717172,1.01010101,,12.12121212,3.03030303,10.1010101
2018,LFT_5764.JPG,4,0,0,11.45833333,0,4.166666667,7.291666667,1.041666667,0,0,0,0,0,0,1.041666667,2.083333333,0,7.291666667,64.58333333,1.041666667,0,,23.95833333,3.125,71.875,1.041666667,,11.45833333,0,12.5
2018,LFT_5777.JPG,5,1.030927835,1.030927835,5.154639175,0,5.154639175,6.18556701,0,0,1.030927835,2.06185567,0,0,0,0,1.030927835,0,14.43298969,61.8556701,1.030927835,0,,21.64948454,1.030927835,76.28865979,1.030927835,,7.216494845,3.092783505,11.34020619
2018,LFT_5798.JPG,6,0,0,4,0,4,14,0,0,0,0,2,0,0,0,3,0,27,46,0,0,,24,3,73,0,,4,2,18
2018,LFT_5826.JPG,7,0,2.040816327,19.3877551,0,2.040816327,8.163265306,1.020408163,0,0,3.06122449,0,0,0,0,5.102040816,0,14.28571429,44.89795918,0,0,,35.71428571,5.102040816,59.18367347,0,,21.42857143,3.06122449,11.2244898
2018,LFT_5845.JPG,8,0,4.04040404,9.090909091,0,5.050505051,8.080808081,2.02020202,0,0,0,0,0,3.03030303,0,2.02020202,0,12.12121212,54.54545455,0,0,,28.28282828,5.050505051,66.66666667,0,,13.13131313,0,15.15151515
2018,LFT_5851.JPG,9,0,0,2.06185567,0,1.030927835,13.40206186,0,0,0,0,0,0,0,0,0,1.030927835,13.40206186,69.07216495,0,0,,16.49484536,0,83.50515464,0,,2.06185567,0,14.43298969
2018,LFT_5873.JPG,10,5.154639175,0,14.43298969,0,2.06185567,4.12371134,2.06185567,0,1.030927835,1.030927835,0,0,0,0,1.030927835,0,6.18556701,62.88659794,0,0,,29.89690722,1.030927835,69.07216495,0,,19.58762887,2.06185567,8.24742268
2018,LFT_5896.JPG,11,1.086956522,0,7.608695652,0,0,2.173913043,0,0,2.173913043,0,1.086956522,0,2.173913043,0,0,0,8.695652174,75,0,0,,14.13043478,2.173913043,83.69565217,0,,8.695652174,3.260869565,2.173913043
2018,LFT_5898.JPG,12,0,1.041666667,4.166666667,0,3.125,1.041666667,0,0,0,0,0,0,0,0,2.083333333,0,16.66666667,71.875,0,0,,9.375,2.083333333,88.54166667,0,,5.208333333,0,4.166666667
2018,LFT_5914.JPG,13,0,2.06185567,5.154639175,0,2.06185567,3.092783505,0,0,0,2.06185567,0,0,0,0,6.18556701,0,11.34020619,68.04123711,0,0,,14.43298969,6.18556701,79.3814433,0,,7.216494845,2.06185567,5.154639175
2018,LFT_5930.JPG,14,0,1.020408163,4.081632653,0,6.12244898,2.040816327,0,1.020408163,3.06122449,3.06122449,1.020408163,1.020408163,0,0,2.040816327,1.020408163,3.06122449,71.42857143,0,0,,22.44897959,2.040816327,75.51020408,0,,5.102040816,8.163265306,9.183673469
2018,LFT_5945.JPG,15,0,3.06122449,2.040816327,0,8.163265306,3.06122449,0,1.020408163,0,1.020408163,2.040816327,0,0,0,2.040816327,1.020408163,7.142857143,69.3877551,0,0,,20.40816327,2.040816327,77.55102041,0,,5.102040816,3.06122449,12.24489796
2018,LFT_5958.JPG,16,2.06185567,0,9.278350515,0,7.216494845,4.12371134,0,0,5.154639175,4.12371134,1.030927835,0,3.092783505,0,2.06185567,0,4.12371134,57.73195876,0,0,,32.98969072,5.154639175,61.8556701,0,,11.34020619,10.30927835,11.34020619
2018,LFT_5972.JPG,17,0,2.06185567,3.092783505,0,0,10.30927835,2.06185567,0,0,1.030927835,0,0,0,0,1.030927835,0,1.030927835,79.3814433,0,0,,18.55670103,1.030927835,80.41237113,0,,5.154639175,1.030927835,12.37113402
2018,LFT_5997.JPG,18,1.020408163,0,16.32653061,0,2.040816327,4.081632653,0,0,0,4.081632653,1.020408163,0,0,0,2.040816327,0,5.102040816,64.28571429,0,0,,28.57142857,2.040816327,69.3877551,0,,17.34693878,5.102040816,6.12244898
2018,LFT_6004.JPG,19,0,0,9.574468085,0,1.063829787,3.191489362,0,0,0,0,1.063829787,0,0,0,5.319148936,0,3.191489362,76.59574468,0,0,,14.89361702,5.319148936,79.78723404,0,,9.574468085,1.063829787,4.255319149
2018,LFT_6031.JPG,20,0,1.052631579,5.263157895,0,3.157894737,9.473684211,1.052631579,0,0,1.052631579,1.052631579,0,0,0,0,0,6.315789474,68.42105263,3.157894737,0,,22.10526316,0,74.73684211,3.157894737,,6.315789474,2.105263158,13.68421053
2018,LFT_6050.JPG,21,0,0,1,0,1,12,0,0,0,0,0,0,0,0,3,0,4,68,11,0,,14,3,72,11,,1,0,13
2018,LFT_6071.JPG,22,0,1.01010101,5.050505051,0,4.04040404,16.16161616,0,1.01010101,0,3.03030303,1.01010101,0,1.01010101,0,3.03030303,0,1.01010101,63.63636364,0,0,,31.31313131,4.04040404,64.64646465,0,,6.060606061,4.04040404,21.21212121
2018,LFT_6086.JPG,23,0,1.052631579,5.263157895,0,0,12.63157895,0,0,0,8.421052632,2.105263158,0,0,0,2.105263158,0,2.105263158,63.15789474,3.157894737,0,,29.47368421,2.105263158,65.26315789,3.157894737,,6.315789474,10.52631579,12.63157895
2018,LFT_6107.JPG,24,1,0,2,1,2,8,0,0,0,1,0,0,0,0,0,0,0,76,9,0,,15,0,76,9,,4,1,10
2018,LFT_6131.JPG,25,0,1.041666667,4.166666667,0,1.041666667,5.208333333,0,0,0,4.166666667,0,0,0,1.041666667,2.083333333,0,3.125,78.125,0,0,,15.625,3.125,81.25,0,,5.208333333,4.166666667,6.25
2018,LFT_6156.JPG,26,0,3.06122449,5.102040816,0,6.12244898,2.040816327,0,1.020408163,0,6.12244898,0,0,0,0,0,0,5.102040816,71.42857143,0,0,,23.46938776,0,76.53061224,0,,8.163265306,6.12244898,9.183673469
2018,LFT_6176.JPG,27,0,0,5.102040816,0,2.040816327,8.163265306,0,0,0,0,4.081632653,0,0,0,1.020408163,0,4.081632653,75.51020408,0,0,,19.3877551,1.020408163,79.59183673,0,,5.102040816,4.081632653,10.20408163
2018,LFT_6201.JPG,28,0,0,9.183673469,0,1.020408163,7.142857143,0,3.06122449,0,1.020408163,0,0,0,1.020408163,2.040816327,0,1.020408163,72.44897959,2.040816327,0,,21.42857143,3.06122449,73.46938776,2.040816327,,9.183673469,1.020408163,11.2244898
2018,LFT_6222.JPG,29,1.020408163,2.040816327,11.2244898,0,4.081632653,1.020408163,0,0,0,4.081632653,1.020408163,0,4.081632653,1.020408163,8.163265306,0,5.102040816,57.14285714,0,0,,24.48979592,13.26530612,62.24489796,0,,14.28571429,5.102040816,5.102040816
2018,LFT_6244.JPG,30,0,8.421052632,8.421052632,0,0,5.263157895,0,0,0,2.105263158,0,0,0,0,2.105263158,0,12.63157895,61.05263158,0,0,,24.21052632,2.105263158,73.68421053,0,,16.84210526,2.105263158,5.263157895
